,word,semcor cluster,dominant label,percentage dominance,no_semcor_clusters,pos labels
127, value ,3,NOUN,1.0,3,['NOUN' 'NOUN' 'NOUN']
128, visit ,1,NOUN,0.8333333333333334,3,['NOUN' 'NOUN' 'VERB' 'NOUN' 'NOUN' 'NOUN']
129, visit ,2,NOUN,0.5,3,['NOUN' 'VERB' 'NOUN' 'VERB']
130, visit ,3,NOUN,0.5,3,['NOUN' 'VERB']
131, walk ,2,NOUN,1.0,3,['NOUN' 'NOUN' 'NOUN' 'NOUN']
132, was ,1,AUX,1.0,9,"['AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX']"
133, was ,2,AUX,1.0,9,"['AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX']"
134, was ,3,AUX,1.0,9,"['AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX']"
135, was ,4,AUX,1.0,9,"['AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX']"
136, was ,5,AUX,1.0,9,"['AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX'
 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX' 'AUX']"
